ct_pma_id,nct_id,pma_number,supplement_number
85797,NCT00726297,P090023,NULL
85798,NCT00727688,P090023,NULL
85799,NCT00727805,P090023,NULL
85800,NCT00292292,P090025,NULL
85801,NCT00587834,P090027,NULL
85802,NCT00720694,P090028,NULL
85803,NCT00637156,P090029,S003
85804,NCT00637156,P090029,NULL
85805,NCT00667459,P090029,NULL
85806,NCT00653432,P090031,NULL
85807,NCT00652314,P100002,NULL
85808,NCT00882661,P100003,S005
85809,NCT00882661,P100003,NULL
85810,NCT00514735,P100008,NULL
85811,NCT00209274,P100009,NULL
85812,NCT00209339,P100009,NULL
85813,NCT00523978,P100010,NULL
85814,NCT00889681,P100010,NULL
85815,NCT00374413,P100011,NULL
85816,NCT00578812,P100012,S006
85817,NCT00578812,P100012,NULL
85818,NCT01905930,P100012,S006
85819,NCT00345631,P100013,NULL
85820,NCT00605826,P100014,NULL
85821,NCT00407914,P100015,NULL
85822,NCT00202839,P100017,NULL
85823,NCT00351403,P100017,NULL
85824,NCT00361179,P100017,NULL
85825,NCT00629967,P100017,NULL
85826,NCT00687999,P100017,NULL
85827,NCT00777088,P100018,NULL
85828,NCT00709891,P100020,S008
85829,NCT00709891,P100020,NULL
85830,NCT00705718,P100021,S021
85831,NCT00870051,P100021,NULL
85832,NCT00371475,P100023,S015
85833,NCT00484315,P100023,NULL
85834,NCT00489541,P100023,NULL
85835,NCT01623154,P100025,S005
85836,NCT00264810,P100026,NULL
85837,NCT00631540,P100028,S004
85838,NCT00631540,P100028,NULL
85839,NCT00475709,P100029,NULL
85840,NCT00759681,P100030,NULL
85841,NCT01024959,P100033,NULL
85842,NCT00379470,P100034,NULL
85843,NCT00916409,P100034,S013
85844,NCT00766701,P100037,NULL
85845,NCT00413231,P100040,S008
85846,NCT00413231,P100040,S021
85847,NCT00413231,P100040,NULL
85848,NCT01092767,P100040,S008
85849,NCT01114724,P100040,S008
85850,NCT01114724,P100040,S012
85851,NCT01181947,P100040,S008
85852,NCT01213589,P100040,S008
85853,NCT00530894,P100041,NULL
85854,NCT00973362,P100042,S004
85855,NCT00973362,P100042,NULL
85856,NCT01446198,P100042,S001
85857,NCT01446198,P100042,S004
85858,NCT00840970,P100044,NULL
85859,NCT00912405,P100044,NULL
85860,NCT01253577 ,P100044,NULL
85861,NCT02266810,P100044,S018
85862,NCT00531661,P100045,NULL
85863,NCT00560885,P100046,NULL
85864,NCT00566787,P100046,NULL
85865,NCT01174745,P100046,NULL
85866,NCT00751972,P100047,NULL
85867,NCT00776997,P100049,NULL
85868,NCT01058070,P100049,NULL
85869,NCT00490841,P110001,S011
85870,NCT00490841,P110001,NULL
85871,NCT00389597,P110002,S010
85872,NCT00389597,P110002,NULL
85873,NCT00985634,P110003,NULL
85874,NCT00816530,P110006,NULL
85875,NCT00972621,P110007,NULL
85876,NCT00534235,P110008,NULL
85877,NCT00389597,P110009,S010
85878,NCT00389597,P110009,NULL
85879,NCT00823212,P110010,S001
85880,NCT00823212,P110010,S096
85881,NCT00823212,P110010,NULL
85882,NCT01148329,P110010,S096
85883,NCT01498692,P110010,NULL
85884,NCT01500434,P110010,NULL
85885,NCT01510327,P110010,NULL
85886,NCT01589978,P110010,S096
85887,NCT01703000,P110010,S053
85888,NCT00753337,P110011,NULL
85889,NCT00585195,P110012,NULL
85890,NCT00932451,P110012,NULL
85891,NCT00932893,P110012,NULL
85892,NCT00217269,P110013,S028
85893,NCT00248079,P110013,NULL
85894,NCT00314275,P110013,S028
85895,NCT00617084,P110013,NULL
85896,NCT00726453,P110013,S005
85897,NCT00726453,P110013,S028
85898,NCT00726453,P110013,S049
85899,NCT00726453,P110013,NULL
85900,NCT00752128,P110013,NULL
85901,NCT00927940,P110013,NULL
85902,NCT01150500,P110013,NULL
85903,NCT00749931,P110014,NULL
85904,NCT00984204,P110016,NULL
85905,NCT01401361,P110016,S007
85906,NCT01408485,P110016,S008
85907,NCT01261507,P110017,NULL
85908,NCT00307047,P110019,S075
85909,NCT00676520,P110019,S075
85910,NCT00916370,P110019,S062
85911,NCT00916370,P110019,S075
85912,NCT00916370,P110019,NULL
85913,NCT01120379,P110019,S075
85914,NCT01205776,P110019,NULL
85915,NCT01435031,P110019,S066
85916,NCT01107418,P110020,NULL
85917,NCT00530712,P110023,S006
85918,NCT00530712,P110023,NULL
85919,NCT01400919,P110023,S007
85920,NCT02066740,P110023,S012
85921,NCT00536744,P110026,NULL
